num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
16,2,0.0,17,3,3,1
29,2,0.0,15,3,4,1
25,2,0.0,00,3,5,1
16,2,0.0,00,3,3,1
16,2,0.0,16,3,3,1
23,2,80.95238095238095,07,2,4,1
27,2,0.0,16,3,3,1
22,2,0.0,01,1,1,1
16,2,0.0,08,3,3,1
35,3,0.0,12,2,3,1
17,2,0.0,17,3,2,1
20,2,0.0,14,3,3,1
21,2,5.263157894736842,15,3,3,1
21,2,0.0,20,2,5,1
13,2,0.0,08,3,3,1
16,2,0.0,04,3,4,1
16,2,0.0,13,1,3,1
26,3,0.0,12,3,3,1
24,3,0.0,22,3,3,1
18,2,0.0,00,2,3,1
23,3,0.0,02,3,3,1
25,3,0.0,06,3,3,1
18,3,0.0,01,1,3,1
25,2,0.0,08,1,3,1
28,3,8.0,06,2,3,1
27,3,8.333333333333332,17,2,3,1
15,2,0.0,03,3,3,1
12,2,0.0,22,3,4,1
12,2,0.0,15,2,4,1
21,3,0.0,20,1,4,1
14,2,8.333333333333332,19,3,3,1
19,3,0.0,17,2,3,1
23,4,0.0,12,2,2,1
39,4,0.0,17,2,5,1
39,4,0.0,13,2,4,1
12,2,0.0,17,3,4,1
23,2,0.0,11,3,4,1
16,2,0.0,12,2,1,1
21,2,0.0,16,1,4,1
30,2,10.714285714285714,12,3,1,1
17,2,0.0,17,3,3,1
21,3,0.0,08,3,4,1
39,4,0.0,12,2,4,1
21,3,11.11111111111111,14,3,4,1
39,4,0.0,14,3,4,1
22,3,0.0,14,1,3,1
16,2,9.090909090909092,16,2,4,1
29,3,0.0,18,1,3,1
21,2,0.0,21,3,3,1
20,2,0.0,09,3,4,1
17,2,0.0,22,2,3,1
21,2,0.0,19,3,5,1
28,3,0.0,21,3,4,1
27,2,0.0,13,3,3,1
22,3,0.0,13,2,3,1
22,2,0.0,02,3,4,1
36,4,0.0,16,2,4,1
17,2,0.0,22,3,5,1
22,2,0.0,23,3,5,1
19,4,0.0,12,3,3,1
17,3,0.0,21,3,3,1
46,6,5.88235294117647,15,3,4,1
25,3,0.0,18,3,1,1
15,2,7.6923076923076925,21,2,5,1
15,2,7.6923076923076925,21,2,5,1
41,5,0.0,16,3,3,1
25,2,0.0,07,2,4,1
21,2,0.0,18,3,4,1
54,9,13.793103448275861,20,1,3,1
22,3,0.0,14,2,4,1
20,2,0.0,16,2,3,1
25,4,33.33333333333333,23,3,3,1
27,4,0.0,18,3,4,1
23,3,0.0,06,2,3,1
27,3,0.0,18,2,3,1
23,3,0.0,17,3,1,1
44,4,0.0,13,1,4,1
9,2,0.0,17,3,4,1
16,2,0.0,14,1,3,1
17,2,6.666666666666667,19,3,4,1
23,3,0.0,00,3,4,1
28,3,0.0,14,3,2,1
15,5,0.0,21,2,2,1
49,4,0.0,16,2,4,1
17,2,0.0,03,2,3,1
27,7,0.0,23,2,2,1
23,4,0.0,06,3,3,1
32,3,0.0,07,1,4,1
16,2,0.0,11,4,4,1
18,2,0.0,17,2,3,1
28,3,0.0,05,2,4,1
19,3,0.0,19,3,4,1
26,3,0.0,08,2,3,1
25,3,0.0,15,3,3,1
20,2,16.666666666666664,14,3,4,1
18,2,0.0,09,3,4,1
33,3,0.0,15,3,3,1
20,3,0.0,16,2,3,1
25,2,0.0,08,3,3,1
13,3,0.0,06,2,2,1
