num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
18.0,2.0,0.0,11.0,2,4,1
19.0,4.0,0.0,21.0,2,2,0
21.0,2.0,0.0,14.0,2,1,0
24.0,2.0,0.0,22.0,2,2,1
30.0,2.0,0.0,14.0,1,2,1
20.0,3.0,0.0,21.0,2,3,0
54.0,5.0,0.0,20.0,2,1,0
20.0,3.0,0.0,12.0,2,2,0
27.0,3.0,0.0,21.0,3,3,1
17.0,2.0,0.0,,2,2,1
20.0,3.0,0.0,8.0,2,2,0
18.0,2.0,0.0,20.0,2,1,0
20.0,3.0,0.0,17.0,3,4,1
21.0,3.0,0.0,0.0,2,1,0
19.0,3.0,0.0,20.0,1,2,1
16.0,2.0,0.0,17.0,0,1,0
29.0,5.0,4.166666666666666,2.0,3,3,1
20.0,3.0,0.0,14.0,2,2,0
21.0,2.0,0.0,21.0,2,2,1
18.0,2.0,0.0,20.0,3,3,0
11.0,2.0,0.0,7.0,2,2,1
19.0,3.0,0.0,13.0,2,0,0
27.0,3.0,0.0,18.0,2,1,0
16.0,2.0,0.0,4.0,2,3,0
26.0,2.0,0.0,12.0,3,2,0
20.0,3.0,0.0,17.0,2,2,0
18.0,2.0,0.0,5.0,3,2,1
25.0,3.0,0.0,8.0,2,0,0
15.0,2.0,15.384615384615383,12.0,3,3,1
22.0,2.0,0.0,9.0,3,3,1
26.0,3.0,0.0,22.0,1,1,0
28.0,2.0,0.0,16.0,2,2,1
54.0,5.0,0.0,23.0,2,1,0
27.0,2.0,0.0,13.0,4,3,0
19.0,2.0,0.0,21.0,4,2,1
20.0,3.0,0.0,0.0,2,3,0
22.0,3.0,0.0,16.0,2,1,0
28.0,2.0,0.0,1.0,1,3,0
20.0,3.0,0.0,12.0,2,0,0
18.0,3.0,0.0,10.0,2,2,0
27.0,2.0,0.0,12.0,2,4,1
20.0,3.0,0.0,15.0,2,2,0
16.0,2.0,0.0,20.0,1,1,0
30.0,3.0,0.0,14.0,3,3,1
20.0,3.0,0.0,2.0,2,3,0
22.0,2.0,0.0,10.0,3,3,1
26.0,3.0,0.0,18.0,2,1,0
17.0,3.0,0.0,20.0,2,2,1
23.0,3.0,0.0,17.0,1,3,1
23.0,3.0,0.0,3.0,3,4,1
54.0,5.0,0.0,21.0,2,1,0
16.0,2.0,0.0,18.0,3,3,1
21.0,2.0,0.0,5.0,2,2,1
20.0,3.0,0.0,8.0,2,2,0
20.0,3.0,0.0,3.0,2,1,0
15.0,2.0,0.0,0.0,3,2,1
21.0,4.0,0.0,1.0,2,3,0
20.0,3.0,0.0,15.0,2,3,0
16.0,2.0,0.0,6.0,2,1,0
24.0,2.0,0.0,14.0,2,0,0
23.0,3.0,0.0,13.0,2,2,0
25.0,3.0,0.0,16.0,1,0,0
26.0,3.0,0.0,15.0,2,2,0
20.0,3.0,0.0,14.0,2,2,0
20.0,3.0,0.0,22.0,2,2,0
27.0,3.0,0.0,11.0,2,1,0
22.0,3.0,0.0,14.0,0,1,0
17.0,2.0,0.0,19.0,2,0,0
17.0,3.0,0.0,8.0,3,2,1
21.0,2.0,0.0,14.0,2,3,0
20.0,3.0,0.0,21.0,2,2,0
18.0,2.0,0.0,18.0,2,1,1
15.0,2.0,0.0,5.0,3,2,1
20.0,3.0,0.0,9.0,2,2,0
24.0,3.0,0.0,20.0,2,3,1
19.0,2.0,5.88235294117647,1.0,3,4,1
22.0,2.0,0.0,8.0,2,4,1
20.0,3.0,0.0,21.0,2,2,0
20.0,3.0,0.0,1.0,2,2,0
18.0,2.0,0.0,21.0,3,3,1
32.0,2.0,0.0,12.0,3,4,1
68.0,6.0,0.0,19.0,2,3,1
31.0,2.0,0.0,7.0,1,3,1
25.0,3.0,0.0,8.0,2,1,0
23.0,3.0,0.0,13.0,1,1,1
20.0,2.0,0.0,17.0,3,3,0
24.0,4.0,0.0,21.0,3,5,1
